kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,ra,dec
9591728,K05695.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.03571773,2.51E-05,-2.51E-05,137.28413,3.16E-03,-3.16E-03,0.911,0.047,-0.051,5.62958,0.00726,-0.00726,1.45E+05,1.67E+02,-1.67E+02,0.524317,3.49E-02,-3.51E-02,70.42,1.88E+01,-2.06E+01,959.6,293.3472,46.25544
9594184,K05696.01,,FALSE POSITIVE,FALSE POSITIVE,0.507,0,0,1,0,42.093314,1.33E-03,-1.33E-03,141.1113,3.05E-02,-3.05E-02,0.035,0.42,-0.035,4.649,0.671,-0.671,8.86E+02,1.42E+02,-1.42E+02,0.026338,1.98E-03,-3.25E-03,2.19,1.70E-01,-2.20E-01,7.4,294.25906,46.221199
9594992,K05697.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,274.1085925,,,182.1603339,,,,,,6.59,,,,,,,,,,,,,294.53946,46.294769
9596820,K05698.01,,CANDIDATE,CANDIDATE,,0,0,0,0,282.029084,7.54E-03,-7.54E-03,170.69,2.22E-02,-2.22E-02,0.4082,0.0504,-0.4082,4.686,0.656,-0.656,3.13E+02,4.76E+01,-4.76E+01,0.016613,1.50E-03,-1.25E-03,2.33,1.33E+00,-3.20E-01,8.1,295.22586,46.22015
9598315,K05699.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,339.18109,1.59E-02,-1.59E-02,415.078,3.02E-02,-3.02E-02,0.077,0.3749,-0.0768,5.34,0.798,-0.798,1.58E+02,2.78E+01,-2.78E+01,0.011599,8.71E-04,-1.43E-03,1.7,8.60E-01,-3.60E-01,11.5,295.75208,46.253868
9602595,K05700.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3.55650976,2.77E-07,-2.77E-07,133.5221921,6.28E-05,-6.28E-05,0.622,0.004,-0.004,12.7364,0.00794,-0.00794,6.87E+05,2.06E+02,-2.06E+02,1.068667,2.59E-03,-3.72E-03,283.93,4.99E+01,-9.27E+01,3867.7,297.14346,46.228458
10601163,K05812.01,,CANDIDATE,CANDIDATE,,0,0,0,0,3.1318392,6.82E-04,-6.82E-04,132.123,1.81E-01,-1.81E-01,0.3864,0.0633,-0.3863,1.632,0.349,-0.349,1.60E+02,3.32E+01,-3.32E+01,0.011821,1.11E-03,-1.64E-03,1.5,4.90E-01,-3.30E-01,6,292.32944,47.835629
10616317,K05813.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,38.27772448,,,157.8294108,,,,,,1.73,,,,,,,,,,,,,297.58429,47.892738
10616656,K05814.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,25.28523234,5.52E-07,-5.52E-07,135.9662009,1.70E-05,-1.70E-05,1.208,0.018,-0.118,4.76313,0.00072,-0.00072,6.30E+04,2.00E-01,-2.00E-01,0.561715,1.57E-02,-9.88E-02,69.68,1.42E+01,-9.51E+00,5902.4,297.69446,47.87896
10618044,K05815.01,,CANDIDATE,CANDIDATE,,0,0,0,0,207.767894,7.03E-03,-7.03E-03,224.425,2.51E-02,-2.51E-02,0.6973,0.0202,-0.5293,5.21,1.6,-1.6,3.21E+02,7.14E+01,-7.14E+01,0.017454,7.96E-04,-3.44E-03,3.52,2.61E+00,-1.88E+00,7.7,298.06827,47.867809
